student_id,age,gender,year_of_study,cgpa,study_hours_per_day,sleep_hours,extracurricular_activities,social_support,financial_stress,part_time_job,family_expectations,relationship_status,physical_activity,screen_time_hours,assignment_load,exam_frequency,peer_pressure,diet_quality,meditation_practice,stress_score,stress_level,student_feedback
STU0001,20,Male,2,7.8,6,7.5,Yes,High,Low,No,Medium,Single,High,4,Medium,2,Low,Good,Sometimes,32.45,Low,I feel manageable with my workload and enjoying college life.
STU0002,22,Female,3,8.5,8,6,Yes,Medium,Medium,Yes,High,In Relationship,Medium,6,High,4,Medium,Average,Never,58.32,Medium,Sometimes I feel overwhelmed with assignments and exams.
STU0003,19,Male,1,6.2,4,5.5,No,Low,High,No,High,Single,Low,9,High,5,High,Poor,Never,76.89,High,I'm constantly anxious about my grades and future.
STU0004,21,Female,2,9.1,7,8,Yes,High,Low,No,Low,In Relationship,High,3,Low,1,Low,Good,Regularly,28.15,Low,"Studies are going well, I have good balance between academics and personal life."
STU0005,23,Male,4,7,9,5,No,Medium,High,Yes,High,Complicated,Low,10,High,4,High,Poor,Never,82.47,High,"The pressure is unbearable, I can't sleep properly."
STU0006,20,Female,2,8.2,6,7,Yes,High,Low,No,Medium,Single,Medium,5,Medium,2,Medium,Good,Sometimes,38.92,Low,"Everything is under control, not feeling overwhelmed."
STU0007,22,Other,3,6.8,5,6.5,No,Low,Medium,Yes,High,Single,Low,8,Medium,3,High,Average,Never,64.23,Medium,Balancing studies and other activities is challenging but manageable.
STU0008,19,Female,1,7.5,7,7.5,Yes,Medium,Low,No,Medium,In Relationship,High,4,Low,2,Low,Good,Sometimes,31.78,Low,I'm coping well with the academic pressure.
STU0009,21,Male,3,5.9,10,4.5,No,Low,High,Yes,High,Single,Low,11,High,5,High,Poor,Never,88.56,High,I feel extremely stressed and exhausted all the time.
STU0010,20,Female,2,8.7,6,8,Yes,High,Low,No,Low,In Relationship,High,3,Medium,1,Low,Good,Regularly,26.34,Low,"Life is good, stress is minimal."
STU0011,23,Male,4,7.3,8,6,Yes,Medium,Medium,No,Medium,Single,Medium,6,Medium,3,Medium,Average,Sometimes,48.91,Medium,I experience moderate stress during exam periods.
STU0012,19,Female,1,6.5,5,6,No,Medium,High,No,High,Complicated,Low,9,High,4,High,Poor,Never,72.15,High,"Too many assignments and not enough time, feeling overwhelmed."
STU0013,22,Male,3,8.9,7,7.5,Yes,High,Low,No,Low,In Relationship,High,4,Low,2,Low,Good,Regularly,29.67,Low,I feel manageable with my workload and enjoying college life.
STU0014,21,Female,2,7.1,9,5.5,No,Low,Medium,Yes,High,Single,Medium,8,High,4,Medium,Average,Never,67.42,Medium,The workload is heavy but I'm managing somehow.
STU0015,20,Male,2,8.3,6,7,Yes,High,Low,No,Medium,In Relationship,High,5,Medium,2,Low,Good,Sometimes,35.28,Low,"Everything is under control, not feeling overwhelmed."
STU0016,24,Female,4,6,11,4,No,Low,High,Yes,High,Complicated,Low,12,High,5,High,Poor,Never,91.23,High,My mental health is suffering due to academic pressure.
STU0017,19,Male,1,7.8,6,7.5,Yes,Medium,Medium,No,Medium,Single,Medium,5,Medium,3,Medium,Average,Sometimes,42.56,Medium,Sometimes I feel overwhelmed with assignments and exams.
STU0018,22,Female,3,8.6,7,7,Yes,High,Low,No,Low,In Relationship,High,4,Low,1,Low,Good,Regularly,27.89,Low,"Studies are going well, I have good balance between academics and personal life."
